Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
640,Anderson Severino*,27,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,severan01
641,Pedro Severino,28,MIL,NL,8,21,18,0,4,2,0,0,1,0,0,3,7,.222,.333,.333,.667,91,6,0,0,0,0,0,/2H3D,severpe01
642,Paul Sewald,32,SEA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sewalpa01
643,Bryan Shaw#,34,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,shawbr01
644,Travis Shaw*,32,BOS,AL,7,19,19,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,0,0,0,/3DH,shawtr01
645,Gavin Sheets*,26,CHW,AL,118,389,357,33,87,18,0,15,51,0,0,26,79,.244,.298,.420,.718,101,150,9,3,0,3,0,9HD3/7,sheetga01
646,Zack Short,27,DET,AL,6,13,9,2,0,0,0,0,2,1,0,2,5,.000,.154,.000,.154,-49,0,0,0,0,2,0,/64DH,shortza01
647,Chasen Shreve*,31,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,shrevch01
648,Mike Siani*,22,CIN,NL,4,10,10,0,2,0,0,0,0,0,1,0,3,.200,.200,.200,.400,9,2,0,0,0,0,0,/8H,sianimi01
649,Magneuris Sierra*,26,LAA,AL,45,96,91,7,15,1,3,0,5,6,1,4,25,.165,.200,.242,.442,25,22,0,0,1,0,0,87/H9,sierrma01
650,Andrelton Simmons,32,CHC,NL,34,85,75,8,13,1,0,0,7,4,0,7,13,.173,.244,.187,.431,25,14,5,0,3,0,0,46/DH1,simmoan01
651,Jose Siri,26,TOT,AL,98,312,288,52,62,12,2,7,23,14,2,20,102,.215,.272,.344,.616,78,99,3,3,0,1,0,8/H97D,sirijo01
652,Austin Slater,29,SFG,NL,118,307,260,45,67,14,2,5,32,11,1,39,86,.258,.365,.385,.749,113,100,9,6,0,2,0,*8H79/D,slateau01
653,Dominic Smith*,27,NYM,NL,58,152,134,11,26,10,1,0,17,0,0,12,37,.194,.276,.284,.560,62,38,0,4,0,2,0,3DH,smithdo02
654,Josh Smith*,24,TEX,AL,65,225,190,22,38,4,0,2,16,4,3,24,43,.200,.308,.253,.561,63,48,1,7,1,3,0,57H/D64,smithjo11
655,Kevin Smith,25,OAK,AL,47,151,139,9,25,9,1,2,13,4,0,7,42,.180,.216,.302,.518,49,42,5,0,3,2,0,56/H,smithke05
656,Pavin Smith*,26,ARI,NL,70,259,229,22,50,8,0,9,33,1,0,26,64,.218,.297,.371,.668,89,85,1,1,0,3,1,9D/3H,smithpa04
657,Will Smith,27,LAD,NL,132,557,487,64,128,25,3,23,85,1,0,56,90,.263,.348,.468,.816,123,228,11,10,0,4,4,*2D/H,smithwi05
658,Canaan Smith-Njigba*,23,PIT,NL,3,7,5,1,1,1,0,0,0,0,0,1,0,.200,.429,.400,.829,137,2,0,1,0,0,0,/7H,smithca05
659,Collin Snider,26,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,snideco01
660,Nick Solak,27,TEX,AL,35,95,82,14,17,1,0,3,4,3,2,7,19,.207,.309,.329,.638,83,27,1,5,1,0,0,7D/H4,solakni01
